"","value","param","species"
"399",5.374289594125,"theta","dichotomius_satanas"
"400",5.62805817951448,"theta","dichotomius_satanas"
"401",5.638781985268,"theta","dichotomius_satanas"
"402",5.08182728919201,"theta","dichotomius_satanas"
"403",5.791827541776,"theta","dichotomius_satanas"
"404",5.15837711538188,"theta","dichotomius_satanas"
"405",4.7600878556259,"theta","dichotomius_satanas"
"406",5.19172319583595,"theta","dichotomius_satanas"
"407",5.73502182983793,"theta","dichotomius_satanas"
"408",5.56929103005677,"theta","dichotomius_satanas"
"409",5.57944626221433,"theta","dichotomius_satanas"
"410",4.68623454589397,"theta","dichotomius_satanas"
"411",5.50973736820742,"theta","dichotomius_satanas"
"412",5.97367175063118,"theta","dichotomius_satanas"
"413",5.10320500377566,"theta","dichotomius_satanas"
"414",5.88639049814083,"theta","dichotomius_satanas"
"415",5.62846675072797,"theta","dichotomius_satanas"
"416",4.84833182906732,"theta","dichotomius_satanas"
"417",5.12571230903268,"theta","dichotomius_satanas"
"418",5.60023447521962,"theta","dichotomius_satanas"
"419",5.37011540168896,"theta","dichotomius_satanas"
"420",5.94344817241654,"theta","dichotomius_satanas"
"421",4.77531302161515,"theta","dichotomius_satanas"
"422",5.36671106726862,"theta","dichotomius_satanas"
"423",5.81125227175653,"theta","dichotomius_satanas"
"424",4.9955757977441,"theta","dichotomius_satanas"
"425",4.65236501209438,"theta","dichotomius_satanas"
"426",4.88899414567277,"theta","dichotomius_satanas"
"427",4.73889971408062,"theta","dichotomius_satanas"
"428",5.92106474703178,"theta","dichotomius_satanas"
"429",5.44087900221348,"theta","dichotomius_satanas"
"430",5.51139081735164,"theta","dichotomius_satanas"
"431",5.72268206882291,"theta","dichotomius_satanas"
"432",5.99565288075246,"theta","dichotomius_satanas"
"433",5.36792004969902,"theta","dichotomius_satanas"
"434",5.67836207826622,"theta","dichotomius_satanas"
"435",5.55307771801017,"theta","dichotomius_satanas"
"436",4.99476539809257,"theta","dichotomius_satanas"
"437",4.46061014803126,"theta","dichotomius_satanas"
"438",5.95722206193022,"theta","dichotomius_satanas"
"439",5.77526801172644,"theta","dichotomius_satanas"
"440",5.50782181927934,"theta","dichotomius_satanas"
"441",4.54248648742214,"theta","dichotomius_satanas"
"442",5.87971167080104,"theta","dichotomius_satanas"
"443",4.59035993576981,"theta","dichotomius_satanas"
"444",5.24432252300903,"theta","dichotomius_satanas"
"445",5.89763690391555,"theta","dichotomius_satanas"
"446",5.44601016817614,"theta","dichotomius_satanas"
"447",5.89211336127482,"theta","dichotomius_satanas"
"448",5.58392491913401,"theta","dichotomius_satanas"
"449",5.9902018357534,"theta","dichotomius_satanas"
"450",5.68021987355314,"theta","dichotomius_satanas"
"451",5.41800007130951,"theta","dichotomius_satanas"
"452",5.29843979189172,"theta","dichotomius_satanas"
"453",5.75094340392388,"theta","dichotomius_satanas"
